,sentence,head,annotation_type,intensity,polarity,Owen,Amittai,Tyler
209,"But now, with President George Bush saying the US will not 
ratify the protocol - which was shaped in part to fit 
Washington's concerns five years ago - the accord's ultimate 
effectiveness is in doubt, and many US allies are irritated.",concerns,sentiment,medium,negative,,,
210,"It's not another ice age, but at least it's cooler","It's not another ice age, but at least it's cooler",other_attitude,low,,,,
211,"""There is 
nothing to be gained by frightening people when all the facts 
are not known.""",frightening,sentiment,high,negative,,,
212,Cardoso says US decision on greenhouse gases is positive,decision,other_attitude,low,,,,
213,"On the pretext of the US opposition, Japan was attempting to realize its own objective.",objective,intention,low-medium,positive,,,
214,"The session of the United Nations Framework Convention for Climate Change held this time was to reach on an actual agreement regarding regulatory problems that have to be solved to put the ""Kyoto Protocol"" adopted in 1997 into force, so that the world may reduce the greenhouse effect and ecological damage, which are becoming more serious with each passing day, protect human lives and health, and provide favorable conditions for the promotion of human civilization.","the greenhouse effect and ecological damage, which are becoming more serious with each passing day",sentiment,medium,negative,,,
215,"Hard on the heels of that decision, the US negotiation representative Marie Chevrier announced in Geneva that the Bush administration would not support the implementation of the ""Biological Weapons Convention"" and that the United States strongly objected to the concrete enforcement plan of this convention.",enforcement plan,intention,medium,positive,,,
216,"Hard on the heels of that decision, the US negotiation representative Marie Chevrier announced in Geneva that the Bush administration would not support the implementation of the ""Biological Weapons Convention"" and that the United States strongly objected to the concrete enforcement plan of this convention.",decision,other_attitude,low,,,,
217,"The US side not only refused to apologize to China but also claimed that ""US crew members were detained by the Chinese side."" It was only because of it being deterred by the Chinese Government's firm position and due to the fact that the US crew members were still in China that the United States was compelled to offer an apology.",firm position,arguing,medium-high,positive,,,
218,"This March, catering to the interests of the US oil and coal barons who have made large political donations to the Republican Party, Bush announced, without prior consultations with its allies, that the United States would not enforce the ""Kyoto Protocol"" which is aimed at reducing greenhouse gas emissions in the world.",interests,sentiment,medium,positive,,,
219,It does not want anything to do with countries and organizations that do not follow its orders or that always cause troubles to it.,orders,sentiment,medium-high,positive,,,
220,"The international community and even US western allies, including US neighbor Canada, have consistently opposed the plan.",the plan,intention,low-medium,positive,,,
221,"Bush said, ""Either you are with us or you are with the terrorists"" and ""any nation that continues to harbor or support terrorism will be regarded by the United States as a hostile regime.""",support terrorism,sentiment,high,negative,,,
222,"The US side not only refused to apologize to China but also claimed that ""US crew members were detained by the Chinese side."" It was only because of it being deterred by the Chinese Government's firm position and due to the fact that the US crew members were still in China that the United States was compelled to offer an apology.",was compelled to offer an apology,other_attitude,low-medium,,,,
223,"The US side not only refused to apologize to China but also claimed that ""US crew members were detained by the Chinese side."" It was only because of it being deterred by the Chinese Government's firm position and due to the fact that the US crew members were still in China that the United States was compelled to offer an apology.",being deterred,sentiment,low-medium,negative,,X,
224,The challenge will be to introduce the most cost-effective climate policy possible and at the same time take Norwegian business and industry's competitiveness into consideration.,The challenge will be to introduce the most cost-effective climate policy possible and at the same time take Norwegian business and industry's competitiveness into consideration,arguing,low,positive,,,
225,They explain that this agreement is an important step for the EU in fulfilling the political pledge to achieve ratification of the Protocol before the Johannesburg summit on sustainable development.,agreement,agreement,medium,positive,,,
226,"They make this request ""convinced of the Russian Federation's resolute commitment to the Kyoto Protocol"" and believing that in this manner the EU and Russia would continue to show the ""leadership"" which they believe they have shared ""with such fruitful results, in international cooperation in the fight against climate change"".",request,sentiment,low,positive,,,
227,"""Therefore, we have complete confidence that the instruments of ratification of the European Community and of the 15 member states will be able to be lodged with the Secretariat of the United Nations within the time scale anticipated, in other words, in early June of this year,"" they add.",have complete confidence,sentiment,medium-high,positive,,,
228,"They make this request ""convinced of the Russian Federation's resolute commitment to the Kyoto Protocol"" and believing that in this manner the EU and Russia would continue to show the ""leadership"" which they believe they have shared ""with such fruitful results, in international cooperation in the fight against climate change"".",request,sentiment,low-medium,positive,,,
229,They explain that this agreement is an important step for the EU in fulfilling the political pledge to achieve ratification of the Protocol before the Johannesburg summit on sustainable development.,agreement,agreement,medium,positive,,,
230,"But, he added that the Greenpeace is here to voice the concerns of millions of people.",concerns,sentiment,medium,negative,,,
231,"WTO decisions must not be allowed to overrule international environmental agreements; the precautionary principle must be incorporated in decision-making, and patents on life must be banned, Parmentier added",agreements,agreement,medium,positive,,,
232,"But, he added that the Qatari government had neither sought nor was given any commitment by Greenpeace not to undertake demonstrations.",demonstrations,sentiment,medium-high,negative,,,
233,"He was responding to a question from Gulf Times whether there would be demonstrations during the WTO ministerial meeting, which opened in Doha yesterday.",demonstrations,sentiment,medium-high,negative,,,
234,WE are not going to remain silent.,WE are not going to remain silent,sentiment,medium,negative,,,
235,And the people who are here are going to voice their concerns and voice their demands.,concerns,sentiment,medium,negative,,,
236,"Parmentier, however, did not say categorically that there would be street demonstrations.",demonstrations,sentiment,medium-high,negative,,,
237,"In 1993, when the WTO was created everybody jumped without checking whether there was a proper safety net at the bottom.",everybody jumped without checking whether there was a proper safety net at the bottom,sentiment,low-medium,negative,,,
238,And the people who are here are going to voice their concerns and voice their demands.,demands,sentiment,medium-high,positive,,,
239,"He pointed out that Qatar, while presenting Dohas candidature to host the meeting, had made an official commitment that it would allow peaceful protests.",peaceful protests,sentiment,medium-high,negative,,,
240,Parmentier said they would use every possible peaceful means at our disposal to make sure that the voice of the people is heard.,the voice of,other_attitude,low,,,,
241,"On board the Rainbow Warrior are nationalities from 18 countries, including witnesses from local communities who will testify to the adverse effects of WTO global policies.",policies,other_attitude,low,,,,
242,"WTO decisions must not be allowed to overrule international environmental agreements; the precautionary principle must be incorporated in decision-making, and patents on life must be banned, Parmentier added",decisions,other_attitude,low,,,,
243,"It is very regrettable that the United States has taken a negative stand,"" Masaaki Nakajima of Friends of the Earth (FoE) Japan said.",has taken a negative stand,sentiment,medium,negative,,,
244,The demonstration came amid heightened security around the embassy as well as elsewhere in Tokyo for the president's visit.,demonstration,sentiment,medium,negative,,,
245,"It also called on the U.S. to stop all air raids on Afghanistan, cease nuclear experiments and reduce U.S. military bases in Japan, among other requests.",requests,sentiment,low,positive,,X,
246,"""We think this plan cannot be an 'alternative' to Kyoto Protocol because it would allow the current greenhouse gas emissions of the United States to increase by around 30% compared to 1990 level in 2010,"" the letter said.",plan,intention,low,positive,,,
247,"""We demand of you, Mr. President, to reconsider your climate policy plan immediately and re-enter the Kyoto Protocol.",plan,intention,low,positive,,,
248,"In the letter, the NGOs said, ""We, Japanese environmental NGOs concerned about climate change, were terribly dismayed by your new climate change plan.""",plan,intention,low,positive,,,
249,"The second conclusion is that, contrary to what some optimists were predicting after 11 September, Bush seems to have decided to stick to a course of arrogant unilateralism when conducting his foreign policy.",were predicting,speculation,low-medium,,,,
250,"The second conclusion is that, contrary to what some optimists were predicting after 11 September, Bush seems to have decided to stick to a course of arrogant unilateralism when conducting his foreign policy.",optimists,sentiment,medium,positive,,,
251,"The announcement of a plan that is supposedly an alternative to the Kyoto Protocol, but which in practice rejects it in a way that cannot be taken seriously by the countries who committed themselves to it (among which is Brazil), only deserves rejection in response and to provoke in retrospect an enormous concern about what the only world superpower intends in future.",intends,intention,low,positive,,,
252,Some environmental entities calculate that Bush's plan will lead to the US's emitting!,plan,intention,low,positive,,,
253,The long- standing ties Bush and several of his leading advisors have with these companies allow us to suppose an ultimate conflict of interests that would only increase with the government's persistent alignment with their goals.,goals,intention,low,positive,,,
254,"Seven months after having rejected the Kyoto Protocol because he considered it to be without scientific basis, detrimental to US economic interests, and unfair in not obliging medium-sized nations (like Brazil and India) to reduce their gas emissions in the same proportion as that imposed on industrialized countries, Bush made public the plan that, he promised, would not have any of the defects of the Kyoto Protocol and would achieve the same, if not better, results.",plan,intention,low,positive,,,
255,"Technical arguments could go on an on, and matter little here.",Technical arguments,arguing,low,positive,,,
256,"Basically, the Bush plan makes the reduction in pollution gas emissions conditional on the Gross Domestic Product (GDP) growth rate.",plan,intention,low,positive,,,
257,"More important are two indisputable conclusions, both potentially embarrassing to the Bush administration and extremely threatening to the world as a whole.",conclusions,other_attitude,low-medium,,,,
258,"The announcement of a plan that is supposedly an alternative to the Kyoto Protocol, but which in practice rejects it in a way that cannot be taken seriously by the countries who committed themselves to it (among which is Brazil), only deserves rejection in response and to provoke in retrospect an enormous concern about what the only world superpower intends in future.",plan,intention,low,positive,,,
259,"The break with Kyoto had been a pre-attack marker in the Bush administration, for having demonstrated the latter's absolute indifference to the opinion of even its closest allies, such as Germany, France, the United Kingdom, and Japan.",the opinion,other_attitude,low-medium,,,X,
260,"Bush's plan, which he revealed in a speech Thursday night, would slow emissions growth by reducing ""greenhouse gas intensity"" -- the ratio of emissions to economic output -- by a target of 18 percent over 10 years.",plan,intention,low,positive,,,
261,"""The Korean Government notes that the new U.S. Government initiative adopts a flexible and gradual approach to reducing greenhouse gas emissions, and that it takes into consideration the concerns of developing countries,"" the statement said",concerns,sentiment,medium,negative,X,,
262,"The U.S. backed out of the agreement, saying its industries would be handicapped by stringent rules that developing countries could simply ignore.",the agreement,agreement,low,positive,,,
263,"AMMAN -- Jordan said it will sign the Kyoto Protocol, a UN pact on impeding global greenhouse gas emissions, following a recent Cabinet decision, according to Faris Juneidi, director general of the General Corporation for Environment Protection (GCEP).",decision,other_attitude,low,,,,X
264,"In March 2001, the US administration opposed the protocol by saying that it contravenes US economic interests, a decision slammed by European Union countries at the time.",decision,other_attitude,low,,,,
265,"By taking this decision, the EU has reaffirmed its commitment to pursuing multilateral solutions to issues of global concern.",decision,other_attitude,low,,X,,
266,"The decision also makes the Member States' greenhouse gas reduction commitments (the so-called ""Burden-Sharing Agreement"") agreed in June 1998 legally binding.",decision,other_attitude,low,,,,
267,The European Commission strongly welcomes this decision.,decision,other_attitude,low,,,X,
268,"Referring to President Bush's climate change plan for the US that he announced on 14 February the Commissioner noted: ""These proposals will not lead to a reduction of greenhouse gas emissions in the United States but allow a significant increase.",proposals,other_attitude,low,,,X,
269,Further proposals are in the pipeline.,proposals,sentiment,low,positive,,,
270,"The European Union played a dominant role in these negotiations and the community of states concluded, at the Bonn and Marrakech conferences of July and October last year, an agreement that sets out how to implement the Kyoto Protocol and provides for an original mechanism for respecting the reduction obligations that could possibly serve as a model for other agreements and that suggests a possible strengthening of international institutional structures in the environmental field.",agreements,agreement,medium,positive,,,
271,"The European Union played a dominant role in these negotiations and the community of states concluded, at the Bonn and Marrakech conferences of July and October last year, an agreement that sets out how to implement the Kyoto Protocol and provides for an original mechanism for respecting the reduction obligations that could possibly serve as a model for other agreements and that suggests a possible strengthening of international institutional structures in the environmental field.",negotiations,other_attitude,low,,,,
272,"With this major decision, the European Union is opening the door to the entry into force of the Kyoto Protocol for climate protection just in time for the world summit on sustainable development to be held in August 2002 in Johannesburg.",decision,other_attitude,low,,,,
273,"The United States, the world's biggest emitter of greenhouse gases (25 percent of global emissions) withdrew from an international agreement that, for the first time, set binding targets for developed countries for climate protection.",agreement,agreement,medium,positive,,,
274,US reticence is not therefore a reason for us to reduce our climate protection efforts.,reticence,other_attitude,low,,,,
275,"Unfortunately, the recent US climate protection program falls far short of meeting such expectations.",expectations,other_attitude,low,,,,
276,The warnings by climate experts went unheeded in the US climate protection program.,warnings,sentiment,medium,negative,,,
277,"Contrary to the preceding one, the plan proposed by Washington Thursday thus no longer has any binding procedure and is based on voluntary measures and tax incentives.",the plan proposed,intention,low-medium,positive,,,
278,"He asserted, in an allusion to the binding objectives of the Kyoto Protocol, that it would be ""unjust and counterproductive to condemn developing countries to weak or even nonexistant economic growth by insisting that they adopt unrealistic greenhouse gas reduction targets.""",objectives,intention,low,positive,,,
279,"For the moment Mr. Bush simply proposes to curb the increase in harmful gas emissions and is counting on the good will of US industrialists, who account for 36% of the greenhouse gas produced by industrialized countries (as opposed to 31.6% for Europe).",good will,sentiment,medium,positive,,,
280,The Discontent of the Environmentalists,Discontent,sentiment,medium,negative,,,
281,But environmentalists immediately attacked this US proposal.,proposal,other_attitude,low,,,,
282,This proposal places no obligation whatsoever on industrialists and is based on voluntary measures and tax incentives.,proposal,other_attitude,low,,,,
283,The EU will further examine and assess the proposals by President Bush in the weeks to come and is willing to continue the dialogue with the US on this basis.,proposals,intention,low,positive,,,
284,"It is striking that the approach which is considered beneficial for other air pollutants, namely to implement cap-and-trade programmes, is not extended to CO2 emissions from the power sector.","It is striking that the approach which is considered beneficial for other air pollutants, namely to implement cap-and-trade programmes, is not extended to CO2 emissions from the power sector",sentiment,low-medium,negative,,,
285,"However, mandatory monitoring and reporting of emissions at company level would be necessary to adequately assess whether the proposals by President Bush represent an effort comparable to the ones under the Kyoto Protocol.",proposals,intention,low,positive,,,
286,"Furthermore, a review of the effectiveness of the measures will not take place before 2012.","Furthermore, a review of the effectiveness of the measures will not take place before 2012",sentiment,low,negative,,X,
287,"The proposals by President Bush may represent a first step in the right direction, where also economic operators in the US are asked to contribute to emission control.",proposals,intention,low,positive,,,
288,"The Bush plan is based on a prolongation of this trend thereby in effect foreseeing little more than continuation on a ""business-as-usual"" path.",plan,intention,low,positive,,,
289,"However, the new plan does not lead to such a stabilisation, but instead will lead to the increase of absolute emission levels.",plan,intention,low,positive,,X,
290,"The US President preferred a more realistic attitude, because it is hard to believe that it will be possible to fully eliminate pollutant gas emissions in one decade.",more realistic attitude,other_attitude,low,,,,
291,"[Passage omitted -- on the Bush administration's budget for controlling climate changes; the attitudes of Australia, Canada, the European Union, and China; and the terms of the Kyoto Protocol]",the attitudes,other_attitude,low,,,,
292,"The speaker's ardor was cooled by the well-known Sergey Kapitsa, who is not inclined to give way to rapture over the advantages promised to Russia.",ardor was cooled,sentiment,low,negative,,,
293,"Rumor has it that the late author of the greenhouse model told Academician Roald Sagdeyev: ""I'm a little uneasy when I tell the Americans about my model, because it suggests that Russia's agriculture will gain from global warming, while America's agriculture will lose."" Sagdeyev looked at Budyko with interest: ""But then where will we buy grain?""",looked at Budyko with interest,other_attitude,low-medium,,,,
294,There are no proposals there to erect screens or to shoot cooling aerosols into the atmosphere.,There are no proposals there to erect screens or to shoot cooling aerosols into the atmosphere,arguing,low,negative,,,
295,Experts' Opinion,Opinion,arguing,low,positive,,,
296,"What will happen to industrial and transport facilities, housing and other infrastructure that were built in permafrost, which will turn into muddy swamp?","What will happen to industrial and transport facilities, housing and other infrastructure that were built in permafrost, which will turn into muddy swamp",sentiment,medium-high,negative,,,
297,"And what will happen during the new, overly warm summer seasons?","And what will happen during the new, overly warm summer seasons",sentiment,medium,negative,,,
298,"Indeed, the idea has not yet captivated the masses so much that they would remove their last trousers to start investing immediately in the project.",idea,other_attitude,low,,,,
299,"Rumor has it that the late author of the greenhouse model told Academician Roald Sagdeyev: ""I'm a little uneasy when I tell the Americans about my model, because it suggests that Russia's agriculture will gain from global warming, while America's agriculture will lose."" Sagdeyev looked at Budyko with interest: ""But then where will we buy grain?""","Russia's agriculture will gain from global warming, while America's agriculture will lose",sentiment,low-medium,negative,,,
300,Should we be happy about climate change?,Should we be happy about climate change,sentiment,low-medium,negative,,,
301,No One Will Be Well Off,No One Will Be Well Off,sentiment,high,negative,,,
302,If One Lies on a Stove...,If One Lies on a Stove,other_attitude,low-medium,,,,
303,Participants in the debate also proceeded from the postulate that the earth's atmosphere has been heating up over the past 100 years.,debate,other_attitude,medium,,,,
304,"But the expert urged everyone to despair, ""since control of global warming without Russia is impossible; the country is becoming the owner of the controlling block of shares.""",is becoming the owner of the controlling block of shares,sentiment,low-medium,negative,,,
305,The Obvious is Incredible,The Obvious is Incredible,arguing,medium,positive,,,
306,"In addition to the suggestion from the sixth continent, it is a good idea to recall the Great Flood, which has been depicted, apart from the Bible, in many of the world's mythologies: ""What was it?",it is a good idea to recall the Great Flood,arguing,low-medium,positive,,,
307,"The Foreign Ministry, said N. Ratsiborinskiy, clarifying his agency's position, recommends that the government move to ratify, since the view at Smolenskaya Square is that the impact of our national efforts will be greater if they are integrated into the efforts of the EU.",position,arguing,low,positive,,,
308,Many people in Russia say: how much fuel we'll save!,how much fuel we'll save,sentiment,medium,positive,,,
309,"In this situation it is very frightening to do anything else -- for example, to suspend some umbrella, screen or something else in that vein.","for example, to suspend some umbrella, screen or something else in that vein",arguing,low,positive,,,
310,"Rumor has it that the late author of the greenhouse model told Academician Roald Sagdeyev: ""I'm a little uneasy when I tell the Americans about my model, because it suggests that Russia's agriculture will gain from global warming, while America's agriculture will lose."" Sagdeyev looked at Budyko with interest: ""But then where will we buy grain?""",But then where will we buy grain,speculation,low,,,,
311,"True, this position makes one think of Yemelya's [illusory] happiness and worry about the future development of the country (both technological and economic as a whole).",happiness,sentiment,medium,positive,,X,
312,"If a country fails to use up its quota, it can sell the ""surplus.""","If a country fails to use up its quota, it can sell the ""surplus",sentiment,low-medium,negative,,,
313,"Certain steps have to be taken with regard to this objective -- including signing the Kyoto deal, he said.",objective,intention,low,positive,,,
314,"Under the agreement, industrialised nations must reduce their emissions of greenhouse gases by an average of 5.2 per cent (from 1990 levels) from between 2008 to 2012.",agreement,agreement,medium,positive,,,
315,"After the Clinton administration signed the Kyoto Protocol in November 1998, the new Bush administration overturned the decision last April, as the US was facing a faltering economy and rising energy prices.",decision,other_attitude,low,,,,
316,"""However, we do support certain limitations on the villains of the crisis in Zimbabwe,"" he said.",villains,sentiment,medium-high,negative,,,
317,"""But anyone who wants to speak the language of violence where Zimbabwe is concerned is playing with fire.",wants to speak the language of violence,sentiment,high,negative,,,
318,Mugabe confident of victory in historic Zimbabwe vote,confident of victory in historic Zimbabwe vote,sentiment,medium,positive,,,
319,"Asked if he would accept the results of the hotly contested 
election, Mugabe said: ""I will accept it, more than accept it 
because I will have won.""",hotly contested,sentiment,high,negative,,,
320,"Tinkering has left voting procedures so confusing in Harare that 
even Mugabe and his top aides appeared unsure of where the 
president was to vote.",so confusing,sentiment,low,negative,,,
321,"Tinkering has left voting procedures so confusing in Harare that 
even Mugabe and his top aides appeared unsure of where the 
president was to vote.",Tinkering,sentiment,low,negative,,,
322,"""We are now wide awake,"" Mugabe said at a rally Monday.",are now wide awake,other_attitude,medium-high,,,,
323,"HARARE, Zimbabwe: A defiant President Robert Mugabe said his 
party had lost ground to the opposition through complacency, but 
would win this weekend's presidential elections anyway, state 
radio reported on Tuesday.",defiant,sentiment,high,negative,,,
324,"The opposition accuses the government of using violence, 
intimidation and new security laws to cow its voters and to 
prevent it from effectively campaigning.",to cow,sentiment,medium,negative,,,
325,"African leaders closed ranks at the Commonwealth summit out of 
fear for their own power, he said.",closed ranks,other_attitude,low-medium,,,,
326,Mugabe says he is wide awake for polls,is wide awake,other_attitude,medium,,,,
327,"The tumultuous campaign grabbed international headlines and 
sparked diplomatic rows that landed Mugabe with sanctions from 
the European Union and the United States.",rows,agreement,medium,negative,,,
328,"`The election was preceded by months of government-orchestrated 
violence meant to intimidate voters (and) the opposition was 
repeatedly harassed and prevented from campaigning,' she said.",intimidate,sentiment,medium-high,negative,,,
329,"Turnout across the southern African country was an estimated 66 
per cent in an election fraught by violence, intimidation and 
intense legal wrangling over civic rights and electoral rules.",intimidation,sentiment,medium-high,negative,,,
330,"Norwegian and local observers said thousands of people, mostly 
in opposition strongholds, had been prevented from voting.","thousands of people, mostly 
in opposition strongholds, had been prevented from voting",sentiment,medium-high,negative,,,
331,"""The election results ... do not reflect the true will of the 
people of Zimbabwe and are consequently illegitimate,"" he said.",true will of,intention,low-medium,positive,,,
332,"He incited violent 
land seizures that have taken a disastrous toll on agricultural 
investment and production and launched a broad assault on 
journalistic freedom and judicial independence.","incited violent 
land seizures",sentiment,high,negative,,,
333,"These include explosive political frustration, a swelling tide 
of desperate refugees and a growing reluctance by foreign 
companies and donors to invest in the region.",explosive political frustration,sentiment,high,negative,,,
334,"These include explosive political frustration, a swelling tide 
of desperate refugees and a growing reluctance by foreign 
companies and donors to invest in the region.",desperate,sentiment,high,negative,,,
335,Zimbabwe's rigged election,rigged election,sentiment,medium-high,negative,,,
336,"Supporters of 
the main opposition candidate were intimidated and beaten.",were intimidated and beaten,sentiment,high,negative,,,X
337,"Voters lined up for 
hours at polling stations, many of them in vain.",many of them in vain,sentiment,medium,negative,,,
338,"There were fears of a violent reaction from Tsvangirai's 
supporters, and security forces were put on high alert and 
police put up road blocks on approach roads to the capital 
Harare.",violent reaction,sentiment,high,negative,,,
339,"""It does not take a vivid imagination to envision a scenario on 
the ground where either rioters or the military take to the 
streets in the days to come,"" an African diplomat said.","take to the 
streets",sentiment,high,negative,,,
340,"Political analysts say the charges may 
have laid the groundwork for Mugabe to jail Tsvangirai as a 
last-ditch effort to stay in power should he lose the election.",charges,sentiment,low,negative,,,
341,"""If Mugabe announces that he has won the election, I think that 
people will not believe it and will storm the castle,"" said 
Sibongile Mbuyiso, an opposition supporter.",will storm the castle,sentiment,high,negative,,,X
342,"Many Zimbabweans see this weekend's election as a contest 
between immovable forces: a 78-year-old autocrat desperate to 
remain in power and an opposition party dominated by restless 
young citizens weary of government corruption, food shortages 
and unemployment.",restless,sentiment,low-medium,negative,,,
343,"""It does not take a vivid imagination to envision a scenario on 
the ground where either rioters or the military take to the 
streets in the days to come,"" an African diplomat said.","take to the 
streets",sentiment,high,negative,,,
344,"Many Zimbabweans see this weekend's election as a contest 
between immovable forces: a 78-year-old autocrat desperate to 
remain in power and an opposition party dominated by restless 
young citizens weary of government corruption, food shortages 
and unemployment.",desperate,sentiment,high,negative,,,
345,"He told journalists after casting his ballot that he was more 
than confident of winning the election.","was more 
than confident of winning the election",sentiment,medium-high,positive,,,
346,"He said those who thought the election process would be rigged 
were supporters of the MDC party, adding that they were 
prejudging and wanted to direct the process.","were 
prejudging",other_attitude,low-medium,,,,
347,"But that ambition would be fully tested at the ballot box this 
weekend.",ambition,intention,medium,positive,,X,
348,"In urban areas, lines snaked for more than a mile and angry 
voters sometimes tried to push their way into polling booths.",angry,sentiment,medium-high,negative,,,
349,"""You see this tarred road and this grass?",You see this tarred road and this grass,sentiment,low-medium,negative,,,
350,"Lines were not a problem, but transparency was.","Lines were not a problem, but transparency was",sentiment,medium,negative,,,
351,But he wanted to sound his voice.,sound his voice,other_attitude,medium,,,,
352,"Despite everything, there is still hope in Zimbabwe that this 
election may bring change.",Despite everything,other_attitude,low,,X,,
353,"A moment later she had decided, and the polling agent, 
smiling, put an ""X"" mark on the ballot in the space marked 
""Robert Mugabe, ZANU-PF.""",had decided,intention,low,positive,,,
354,"""The intention, of course, is that you frustrate as many voters 
as you can.","The intention, of course, is that you frustrate as many voters 
as you can",sentiment,medium,negative,,,
355,"Even with all their tricks, there are too 
many of us.""","Even with all their tricks, there are too 
many of us",arguing,medium,positive,,,
356,"The 
question foremost in the minds of most Zimbabweans is whether 
attempts to rig the election through voter intimidation, last- 
minute election-law changes, and outright fraud have succeeded.","attempts to rig the election through voter intimidation, last- 
minute election-law changes, and outright fraud have succeeded",sentiment,high,negative,,,
357,"After months of fear and intimidation, Zimbabweans streamed to 
the polls this weekend in record numbers to cast their votes in 
the country's first contested election since independence 22 
years ago.",fear and intimidation,sentiment,high,negative,,,
358,"""This is not a 
fair election,"" he says.","This is not a 
fair election",sentiment,high,negative,,,
359,"""The main cheating took place long before election days,"" says 
Brian Murphy of the Zimbabwe Citizens support group, an 
organization whose members spread around the country this 
weekend privately monitoring the elections.",The main cheating took place long before election days,sentiment,medium-high,negative,,,
360,"Mugabe is trying to move the goal posts to 
disenfranchise people, these people he thinks will vote against 
him,"" said Tsvangirai, visiting one polling station where 
thousands waited angrily to cast their votes, waving their hands 
in the open-handed signal of the MDC.",waited angrily,sentiment,high,negative,,,
361,"""I am happy now,"" he 
says with a bright smile after voting.",says with a bright smile,sentiment,medium-high,positive,,,
362,"""I am happy now,"" he 
says with a bright smile after voting.",am happy,sentiment,medium,positive,,,
363,"""I have made a 
difference.""","I have made a 
difference",sentiment,medium,positive,,,
364,"They wear the T-shirts and 
go to the rallies, but inside, they don't believe,"" she says.",don't believe,sentiment,medium,negative,,,
365,"Mr. Murphy points to 
the lack of independent voter education, the lack of any 
independent radio stations, and the ban on holding opposition 
rallies in many districts as just a few examples.","points to 
the lack of independent voter education, the lack of any 
independent radio stations, and the ban on holding opposition 
rallies in many districts as just a few examples",sentiment,high,negative,,,
366,"At the Chaparandza Primary School in the rural Rushinga, Mary 
Mugumira, wearing a wool ""USA 1997"" hat, a long traditional 
dress, no shoes, and a confused look, asked the presiding 
officer to vote for her.",confused look,other_attitude,low,,,,
367,"Mugabe, 78, remained defiant, blaming racism for the criticism 
and pledging to accelerate his land-reform program, under which 
the country's most fertile land has been seized from white 
commercial farmers for redistribution to poor, landless blacks.",criticism,sentiment,medium,negative,,,
368,"''It is our 
people who decide, who must say so, not you, sirs and not the 
one person in 10 Downing St., Tony Blair,'' Mugabe said, 
referring to Britain's prime minister.",decide,other_attitude,low,,,,
369,"Mugabe, 78, remained defiant, blaming racism for the criticism 
and pledging to accelerate his land-reform program, under which 
the country's most fertile land has been seized from white 
commercial farmers for redistribution to poor, landless blacks.",remained defiant,sentiment,medium-high,negative,,,
370,Africa's Grand Bargain,Africa's Grand Bargain,sentiment,medium,positive,,,
371,"Such desperation by 
Mugabe should not be condoned by African leaders.",desperation by,sentiment,high,negative,,,
372,"But now that he's cornered by the international community with 
many types of isolation - including opprobrium from two of his 
African peers - he has lashed out by charging opposition leader 
Morgan Tsvangirai with trying to kill him.",has lashed out,sentiment,high,negative,,,
373,All was not lost in Zimbabwe's rigged election last week.,All was not lost in,sentiment,low-medium,positive,,,
374,"The decision, taken by a three-way panel of Howard and presidents Thabo Mbeki of South Africa and Olusegun Obasanjo of Nigeria, follows a damning report on the March 9-11 vote by Commonwealth observers.",decision,other_attitude,low,,,,
375,"Although Mbeki has not specifically given his own views, an official South African observer team said the election result should be respected.",has not specifically given his own views,other_attitude,low,,,,
376,"The report concluded the poll had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe, a conclusion also reached by the Zimbabwean opposition and much of the West.",intimidation,sentiment,medium-high,negative,X,,
377,"The report concluded the poll had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe, a conclusion also reached by the Zimbabwean opposition and much of the West.","had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe",sentiment,high,negative,,,
378,"Foreign Secretary Jack Straw also praised the decision, saying that ""the message could not be clearer.""",decision,other_attitude,low,,,,
379,"The surprise decision comes after the 54-nation group failed to reach agreement on sanctions against Harare before the voting, when African leaders rallied around the anti-colonialist Mugabe, who has held power since independence from Britain in 1980.",decision,other_attitude,low,,,,
380,"The report concluded the poll had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe, a conclusion also reached by the Zimbabwean opposition and much of the West.","had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe",sentiment,high,negative,,,
381,"A spokesman for British Prime Minister Tony Blair said: ""He clearly welcomes the decision by the Commonwealth troika and believes that it is absolutely the right thing to do.""",decision,other_attitude,low,,,,
382,"The majority report, endorsed only by the ANC, said the observer mission had noted that over three million Zimbabweans had cast their votes and this substantially represented the will of the people.",will of,sentiment,medium,positive,,X,
383,"The Inkatha Freedom Party, Democratic Alliance, New National Party, African Christian Democratic Party, the Pan Africanist Congress and the United Christian Democratic Party had disagreed with the ANC conclusion.",conclusion,other_attitude,low,,,,
384,"""Personally I felt that one is going to be used here, but I nevertheless hoped the presence of outsiders in Zimbabwe would stop some illegal acts which may have been committed.""",some illegal acts which may have been committed,sentiment,medium,negative,,,
385,The United Democratic Movement was still undecided.,was still undecided,other_attitude,low,,,,
386,"""Even in the queues at polling centres there was a lot of fear and tension.",fear and tension,sentiment,high,negative,,X,
387,Other delegates in SAOM aligned themselves with the findings of the Southern African Development Community parliamentary forum that said the vote had not met SADC's norms and standards.,findings,other_attitude,low,,,,
388,"""Even in the queues at polling centres there was a lot of fear and tension.",there was a lot of fear and tension,sentiment,medium-high,negative,,,
